Date,Open,High,Low,Close,Adj Close,Volume
2021-01-14,33.619999,34.070000,33.450001,33.939999,33.585335,90700
2021-01-15,33.689999,34.099998,33.169998,33.619999,33.268677,60100
2021-01-19,33.980000,34.570000,33.790001,34.020000,33.664501,76900
2021-01-20,33.950001,34.639999,33.950001,34.410000,34.050426,101600
2021-01-21,34.459999,35.020000,34.400002,34.570000,34.208755,95100
2021-01-22,34.259998,34.820000,33.570000,34.810001,34.446247,80700
2021-01-25,34.689999,35.410000,34.349998,35.360001,34.990498,136800
2021-01-26,35.419998,36.119999,35.240002,35.980000,35.604019,100900
2021-01-27,35.509998,35.630001,34.130001,34.730000,34.367081,124600
2021-01-28,34.869999,34.869999,33.630001,33.669998,33.318153,118600
2021-01-29,33.590000,34.230000,32.990002,33.119999,32.773903,94000
2021-02-01,33.410000,33.619999,33.110001,33.279999,32.932232,56100
2021-02-02,33.660000,34.130001,33.380001,34.119999,33.763454,54700
2021-02-03,34.130001,34.349998,33.720001,33.980000,33.624916,85300
2021-02-04,34.080002,35.240002,34.020000,35.000000,34.634258,59400
2021-02-05,35.259998,35.270000,34.740002,35.110001,34.842663,49400
2021-02-08,35.330002,35.750000,35.189999,35.750000,35.477787,57100
2021-02-09,35.660000,35.980000,35.500000,35.830002,35.557182,74500
2021-02-10,36.000000,36.200001,35.439999,36.060001,35.785427,117500
2021-02-11,36.189999,36.810001,36.049999,36.570000,36.291546,160300
2021-02-12,36.560001,36.700001,36.020000,36.580002,36.301468,115100
2021-02-16,36.849998,36.849998,35.090000,35.299999,35.031212,106200
2021-02-17,34.709999,34.810001,33.689999,34.790001,34.525097,90100
2021-02-18,34.630001,35.230000,32.740002,34.340000,34.078522,331300
2021-02-19,34.709999,34.919998,34.209999,34.459999,34.197609,96100
2021-02-22,34.130001,35.240002,34.130001,34.700001,34.435783,120400
2021-02-23,34.340000,34.830002,33.740002,33.799999,33.542637,147800
2021-02-24,33.799999,34.119999,33.529999,33.860001,33.602180,104600
2021-02-25,33.849998,33.990002,33.130001,33.270000,33.016670,80200
2021-02-26,33.049999,33.509998,32.709999,32.959999,32.709026,151300
